timestamp,GPU0,GPU1
1763638585.215,199.975,256.513
1763638585.415,196.311,261.444
1763638585.636,199.308,264.511
1763638585.843,207.889,259.937
1763638586.032,212.837,254.603
1763638586.238,208.707,254.352
1763638586.427,201.089,256.379
1763638586.648,194.569,261.917
1763638586.866,194.111,260.769
1763638587.063,201.024,261.301
1763638588.131,209.434,259.109
1763638588.350,203.991,264.707
1763638588.547,198.619,257.933
1763638588.759,197.137,259.151
1763638588.960,198.677,257.897
1763638589.126,206.892,265.860
1763638589.343,211.678,263.442
1763638589.543,207.043,261.043
1763638589.743,199.639,260.761
1763638589.931,195.995,262.188
1763638590.128,195.222,267.083
1763638591.177,201.376,263.865
1763638591.361,196.578,261.207
1763638591.545,195.761,265.715
1763638591.736,201.080,266.486
1763638591.923,209.158,263.811
1763638592.089,195.749,261.891
1763638592.275,195.787,259.500
1763638592.464,198.722,258.876
1763638592.631,206.476,264.319
1763638592.819,206.641,261.160
1763638593.010,202.557,258.336
1763638593.199,199.138,257.605
1763638594.258,210.534,270.851
1763638594.460,204.532,270.361
1763638594.659,197.964,266.755
1763638594.868,194.364,264.012
1763638595.087,195.267,259.907
1763638595.274,203.280,262.488
1763638595.469,209.244,269.767
1763638595.656,207.040,273.082
1763638595.863,201.226,272.190
1763638596.085,196.262,267.953
1763638596.253,195.655,264.704
1763638597.351,210.567,264.970
1763638597.535,210.567,263.353
1763638597.739,210.567,263.353
1763638597.928,199.732,257.333
1763638598.115,196.964,261.771
1763638598.324,197.928,265.852
1763638598.511,205.045,264.933
1763638598.700,211.150,263.325
1763638598.887,195.950,261.079
1763638599.075,195.580,260.359
1763638599.263,203.207,262.154
1763638600.389,213.233,273.417
1763638600.580,202.893,270.421
1763638600.789,198.030,267.055
1763638600.975,197.005,264.739
1763638601.164,197.231,264.713
1763638601.351,206.212,265.729
1763638601.539,210.112,268.091
1763638601.728,205.829,265.753
1763638601.915,200.677,265.442
1763638602.083,204.798,266.235
1763638602.270,211.840,271.384
1763638602.442,207.460,265.948
1763638603.453,207.532,266.414
1763638603.661,212.533,270.709
1763638603.847,208.251,272.735
1763638604.033,202.747,262.411
1763638604.199,197.896,264.574
1763638604.387,211.180,269.437
1763638604.576,207.139,271.298
1763638604.796,200.221,268.779
1763638604.991,195.728,266.257
1763638605.181,195.411,264.164
1763638605.392,198.906,263.010
1763638606.529,210.053,273.222
1763638606.721,203.960,275.301
1763638606.912,211.320,272.974
1763638607.111,213.379,268.666
1763638607.299,208.051,265.645
1763638607.488,204.703,264.635
1763638607.689,211.496,267.026
1763638607.880,211.017,270.922
1763638608.087,206.988,269.634
1763638608.289,201.169,266.625
1763638608.476,197.189,264.614
1763638609.590,196.922,262.219
1763638609.774,209.079,262.674
1763638609.975,210.142,266.659
1763638610.176,206.744,267.194
1763638610.362,202.667,264.226
1763638610.559,198.552,263.164
1763638610.760,198.462,261.469
1763638610.960,200.233,262.481
1763638611.159,208.595,264.942
1763638611.357,211.790,271.552
1763638611.559,207.754,273.129
1763638612.679,205.645,268.605
1763638612.868,199.852,265.150
1763638613.073,203.902,265.051
1763638613.271,211.056,268.280
1763638613.471,211.653,272.626
1763638613.672,207.711,271.795
1763638613.873,202.045,268.110
1763638614.080,197.949,262.941
1763638614.259,198.406,259.430
1763638614.475,205.331,260.719
1763638614.643,212.034,266.611
1763638615.764,206.723,272.273
1763638615.969,201.799,269.470
1763638616.155,199.790,266.073
1763638616.323,200.347,275.543
1763638616.524,208.485,272.268
1763638616.723,214.959,269.965
1763638616.909,210.378,265.791
1763638617.094,204.208,264.614
1763638617.260,207.069,264.903
1763638617.424,198.523,267.708
1763638617.631,170.920,256.258
1763638617.832,145.701,249.690
